name,faculty_id,subject,email,password,batch
Smit1234,11,cyber security,s@gmail.com,1234,CSE
rajiv,11rajiv,AI_ML,rajiv@gmail.com,1234,CSE
amitava,1amit,DAA,amitava@gmail.com,12345,CSE
soham,11soham,AI,soham1234@gmail.com,1234,CSE
rajesh,1rajeshid,AI_ML,rajesh@gmail.com,1234,ICT
Ketan ,1ketanID,AI,ketan12@gmail.com,1234,ICT
dhaval,1dhavalID,DAA,dhaval@gmail.com,1234,CSE
hargeet,1hargeetID,cyber security,hargeet45@gmail.com,1234,CSE
Harsh,1harshID,DAA,harsh12@gmail.com,1234,CSE
Shreyansh,1shreyanshID,AI,shre123@gmail.com,1234,ICT
